Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/games,196,0,2010.1685000117868,2042.2134464279968,2010.1685000117868,2090.534699964337,9908.290816326531,3.3005869597448347,0.0,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/games,54,0,2015.6862000003457,2049.6932370318705,2015.6862000003457,2080.9947999659926,155.05555555555554,0.9093453868684748,0.0,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/games/[id],85,0,2018.8762999605387,2043.8156141125708,2018.8762999605387,2096.0644999868236,172.8,1.4313769978485251,0.0,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100
DELETE,/games/[id] DELETE,54,0,2008.686300017871,2043.6939888890333,2008.686300017871,2091.3373000221327,0.0,0.9093453868684748,0.0,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/games/featured,53,0,2015.6560000032187,2044.6630962278675,2015.6560000032187,2092.286199971568,1085.0,0.8925056574820216,0.0,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/games/stats,48,0,2014.2030999995768,2044.2678395811527,2014.2030999995768,2073.6315000103787,1562.9375,0.8083070105497554,0.0,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/games?genre=[genre],128,0,2016.153000004124,2044.9825304694969,2016.153000004124,2088.696099992376,1419.8046875,2.1554853614660145,0.0,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/health,78,0,2013.175800035242,2041.5239743612265,2013.175800035242,2090.4228999861516,51.0,1.3134988921433526,0.0,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,696,0,2008.686300017871,2043.864521838259,2008.686300017871,2096.0644999868236,3280.639367816092,11.720451652971454,0.0,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100
