Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776172969,50,,Aggregated,13.700000,0.000000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,271,0,2013.175800035242,2045.5858915130525,2013.175800035242,2096.0644999868236,2821.361623616236
1776172970,50,,Aggregated,12.700000,0.000000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,289,0,2013.175800035242,2045.7425553629184,2013.175800035242,2096.0644999868236,2933.7093425605535
1776172971,50,,Aggregated,12.100000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,305,0,2013.175800035242,2045.2879881967226,2013.175800035242,2096.0644999868236,2965.4196721311478
1776172972,50,,Aggregated,12.100000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,311,0,2013.175800035242,2045.0320244372606,2013.175800035242,2096.0644999868236,3042.176848874598
1776172973,50,,Aggregated,13.400000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,327,0,2013.175800035242,2045.046429969164,2013.175800035242,2096.0644999868236,3134.204892966361
1776172974,50,,Aggregated,12.700000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,338,0,2013.175800035242,2044.9816884616591,2013.175800035242,2096.0644999868236,3261.130177514793
1776172975,50,,Aggregated,12.700000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,355,0,2013.175800035242,2044.668137183098,2013.175800035242,2096.0644999868236,3201.5971830985914
1776172976,50,,Aggregated,12.500000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,365,0,2013.175800035242,2044.591511233091,2013.175800035242,2096.0644999868236,3156.2520547945205
1776172977,50,,Aggregated,12.500000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,377,0,2013.175800035242,2044.9004745358213,2013.175800035242,2096.0644999868236,3122.127320954907
1776172978,50,,Aggregated,12.600000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,392,0,2013.175800035242,2045.3887397961807,2013.175800035242,2096.0644999868236,3181.1811224489797
